name,price,km_driven,fuel_type,transmission,location,url
2019 Maruti Suzuki Swift Dzire VXI 1.2,₹5.35 Lakh,"60,000 kms",Petrol,Manual,Korba,https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-vxi-12-cars-Korba_460c92a0-2a23-4ef8-a5d2-9fab9d8a86ac.htm
2015 Hyundai Xcent 1.2 Kappa S,₹4.25 Lakh,"40,000 kms",Petrol,Manual,Korba,https://www.cardekho.com/used-car-details/used-Hyundai-xcent-12-kappa-s-cars-Korba_f4a7789b-3df4-4fcb-8207-6e4fd5651da9.htm
2021 Hyundai Creta SX Opt IVT BSVI,₹12 Lakh,"1,00,000 kms",Petrol,Automatic,"Gorkha, Raigarh",https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-opt-ivt-bsvi-cars-Raigarh_b78b9a3c-93b5-487b-988b-284ca13ebba6.htm
2017 Honda WR-V i-VTEC VX,₹4.80 Lakh,"70,000 kms",Petrol,Manual,"Hasdeo Project, Korba",https://www.cardekho.com/used-car-details/used-Honda-wr-v-i-vtec-vx-cars-Korba_178fa5c6-6b64-441e-8a69-f62fbd8c5010.htm
2020 Kia Seltos GTX Plus,₹12.50 Lakh,"55,000 kms",Petrol,Manual,"Town, Korba",https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-cars-Korba_d7e7846a-aa98-4d63-840a-021d2634adda.htm
2019 Renault KWID 1.0 RXT,₹3.50 Lakh,"40,000 kms",Petrol,Manual,"Bindul, Waidhan",https://www.cardekho.com/used-car-details/used-Renault-kwid-10-rxt-cars-Waidhan_4072932a-4467-498f-b135-4df26385601e.htm
2019 Tata Tigor XZ Plus,₹4.20 Lakh,"87,000 kms",Petrol,Manual,"Sitapur, Surguja",https://www.cardekho.com/used-car-details/used-Tata-tigor-xz-plus-cars-Surguja_0f88d523-48a8-483f-8f8e-283aced6f5c5.htm
2021 Hyundai Creta SX Diesel BSVI,₹15 Lakh,"1,20,000 kms",Diesel,Manual,Raigarh,https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-diesel-bsvi-cars-Raigarh_9a8d3733-9a3c-490e-8cd7-500271d0025a.htm
2019 Renault Duster 85PS Diesel RxZ,₹4.50 Lakh,"80,000 kms",Diesel,Manual,"Deepka, Korba",https://www.cardekho.com/used-car-details/used-Renault-duster-85ps-diesel-rxz-cars-Korba_0d4457f5-cc11-4df9-a6a3-d19e9fe21720.htm
2025 Maruti Suzuki Grand Vitara Sigma,₹12 Lakh,"29,000 kms",Petrol,Manual,Korba,https://www.cardekho.com/used-car-details/used-Maruti-grand-vitara-sigma-cars-Korba_b35750eb-7b6d-4fc6-bfcb-34cf090b93d4.htm
2021 Maruti Suzuki Vitara Brezza ZXI,₹7 Lakh,"36,000 kms",Petrol,Manual,Waidhan,https://www.cardekho.com/used-car-details/used-Maruti-vitara-brezza-zxi-cars-Waidhan_73f2be75-4fb6-42c0-9fd6-70eec0127cab.htm
2016 Hyundai Grand i10 Magna,₹3.74 Lakh,"50,000 kms",Petrol,Manual,Waidhan,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-magna-cars-Waidhan_98934f0f-bf5f-4da1-be0b-9caf561df6a7.htm
2013 Toyota Innova 2.5 E Diesel MS 8-seater,₹5.50 Lakh,"2,00,000 kms",Diesel,Manual,Korba,https://www.cardekho.com/used-car-details/used-Toyota-innova-25-e-diesel-ms-8-seater-cars-Korba_06290507-c016-499d-993c-1dc510b89fd3.htm
2017 Toyota Innova Crysta 2.7 VX MT BSIV,₹15 Lakh,"1,30,000 kms",Petrol,Manual,Korba,https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-27-vx-mt-bsiv-cars-Korba_fbec9d15-a681-48ee-ae0d-1192c30377e0.htm
